127.0.0.1 - - [02/Jan/2023:00:50:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:50:51 +0900] "GET /movie/movie/view.jsp HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:50:51 +0900] "GET /movie/css/movie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:50:51 +0900] "GET /movie/movie/upload/ HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:55:13 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:55:23 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:55:46 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:02 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:16 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:19 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:20 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:21 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:21 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:22 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:23 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:24 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:40 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:45 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 500 2494
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:52 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:57 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:58 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:58 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:00:56:58 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:27 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:27 +0900] "GET /movie/css/movie.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:28 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:28 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:29 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:29 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:34 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:35 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [02/Jan/2023:01:10:35 +0900] "GET /movie/movie/list.jsp HTTP/1.1" 200 639
